Date,Close
11/6/2015,183.75
11/9/2015,183.13
11/10/2015,184.66
11/11/2015,183.47
11/12/2015,180.1
11/13/2015,179.89
11/16/2015,182.35
11/17/2015,185.48
11/18/2015,189.27
11/19/2015,185.36
11/20/2015,189.68
11/23/2015,189.7
11/24/2015,189.8
11/25/2015,189.57
11/27/2015,190.36
11/30/2015,189.35
12/1/2015,191.25
12/2/2015,189.99
12/3/2015,190.3
12/4/2015,190.54
12/7/2015,188.98
12/8/2015,188.91
12/9/2015,187.06
12/10/2015,190.48
12/11/2015,190.21
12/14/2015,190.58
12/15/2015,187.15
12/16/2015,190.72
12/17/2015,190.02
12/18/2015,193.4
12/21/2015,195.3
12/22/2015,197.3
12/23/2015,200.5
12/24/2015,199.41
12/28/2015,200.27
12/29/2015,200.32
12/30/2015,198.74
12/31/2015,197.23
1/4/2016,194.67
1/5/2016,195.5
1/6/2016,193.1
1/7/2016,187.81
1/8/2016,182.39
1/11/2016,163.55
1/12/2016,164.01
1/13/2016,157.84
1/14/2016,164.78
1/15/2016,165
1/19/2016,169.44
1/20/2016,170
1/21/2016,170.45
1/22/2016,170.18
1/25/2016,170.17
1/26/2016,170.99
1/27/2016,166.92
1/28/2016,160.12
1/29/2016,160.98
2/1/2016,159.27
2/2/2016,155
2/3/2016,152.37
2/4/2016,153.81
2/5/2016,154.36
2/8/2016,151.46
2/9/2016,150.38
2/10/2016,152.99
2/11/2016,150.03
2/12/2016,151.03
2/16/2016,152.59
2/17/2016,155.57
2/18/2016,155.96
2/19/2016,154.27
2/22/2016,156.43
2/23/2016,153.99
2/24/2016,154.67
2/25/2016,155.37
2/26/2016,156.78
2/29/2016,155.62
3/1/2016,156.65
3/2/2016,158.69
3/3/2016,162.7
3/4/2016,162.77
3/7/2016,163.04
3/8/2016,158.8
3/9/2016,161.88
3/10/2016,161.12
3/11/2016,166.4
3/14/2016,164.99
3/15/2016,157.3
3/16/2016,156
3/17/2016,151.69
3/18/2016,158.31
3/21/2016,156.86
3/22/2016,156.61
3/23/2016,155.03
3/24/2016,157.29
3/28/2016,156.53
3/29/2016,158.87
3/30/2016,157.73
3/31/2016,157.25
4/1/2016,157.41
4/4/2016,158.21
4/5/2016,154.69
4/6/2016,163.21
4/7/2016,161.25
4/8/2016,162.2
4/11/2016,162.38
4/12/2016,164.33
4/13/2016,167.5
4/14/2016,168.59
4/15/2016,172.77
4/18/2016,174
4/19/2016,175.84
4/20/2016,177.54
4/21/2016,178.03
4/22/2016,178.25
4/25/2016,177.16
4/26/2016,177.17
4/27/2016,177.93
4/28/2016,169.33
4/29/2016,167.82
5/2/2016,168.43
5/3/2016,168.15
5/4/2016,165.01
5/5/2016,172.7
5/6/2016,168.86
5/9/2016,172.22
5/10/2016,170.31
5/11/2016,168.89
5/12/2016,167.3
5/13/2016,165.93
5/16/2016,172.53
5/17/2016,173.51
5/18/2016,179.89
